id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
-----Max Revenue-----
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Action|Adventure|Fantasy|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
-----Min Revenue-----
3293,tt0168122,0.28789,0,0,Pirates of Silicon Valley,Noah Wyle|Joey Slotnick|J.G. Hertzler|Anthony Michael Hall|Wayne PÃ©re,http://alt.tnt.tv/movies/tntoriginals/pirates/frame_index.htm,Martyn Burke,The true story of how Bill Gates and Steve Jobs changed the world.,biography|apple computer|bill gates|steve jobs|microsoft,"This film is the semi-humorous documentary about the men who made the world of technology what it is today, their struggles during college, the founding of their companies, and the ingenious actions they took to build up the global corporate empires of Apple Computer Inc. and Microsoft Corporation.",97,Drama|TV Movie,Turner Network Television|Haft Entertainment|St. Nick Productions,5/10/99,109,6.6,1999,0,0
294562,tt4060576,0.298628,0,0,Lavalantula,Steve Guttenberg|Nia Peeples|Patrick Renna|Carlos Bernard|Michael Winslow,,Mike Mendez,Fire Burns... Lava Bites,monster|mutant|lava|volcano|los angeles,"Giant lava breathing tarantulas â€“ Lavalantulas â€“ erupt out of ancient volcanos in the Santa Monica Mountains, raining death and destruction upon Los Angeles. With the City of Angels on the verge of incineration, only a washed up â€˜90s action hero actor (Steve Guttenberg) stands in the way of this monstrous swarm of bloodthirsty creatures who burn their victims alive.",83,Horror|Science Fiction|TV Movie,Cinetel Films,8/8/15,16,5.6,2015,0,0
7515,tt0449061,0.622677,0,0,London,Chris Evans|Jessica Biel|Joy Bryant|Jason Statham|Kelli Garner,,Hunter Richards,One young man's incredible journey of self-discovery,new york|celebration,London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.,92,Drama|Action|Romance,Destination Films|Silver Nitrate Films|National Film and Television School (NFTS)|LHR Productions Inc.,2/10/05,52,5.7,2005,0,0
18444,tt0054357,0.465879,0,0,Swiss Family Robinson,John Mills|Dorothy McGuire|James MacArthur|Janet Munro|Sessue Hayakawa,,Ken Annakin,THE ADVENTURE OF ADVENTURES!,tree house|island|shipwreck|pirate gang|swiss family robinson,"After being shipwrecked, the Robinson family is marooned on an island inhabited only by an impressive array of wildlife. In true pioneer spirit, they quickly make themselves at home but soon face a danger even greater than nature: dastardly pirates. A rousing adventure suitable for the whole family, this Disney adaptation of the classic Johann Wyss novel stars Dorothy McGuire and John Mills as Mother and Father Robinson.",126,Adventure|Family,Buena Vista Pictures,12/21/60,47,6.9,1960,0,0
12902,tt0418141,0.368223,0,0,Scooby-Doo! and the Loch Ness Monster,Frank Welker|Casey Kasem|Mindy Cohn|Grey Griffin|Michael Bell,,Scott Jeralds|Joe Sichta,,,"Scooby-Doo, Shaggy, and the Mystery Inc. crew travel to Scotland on vacation and find themselves unexpectedly tackling their biggest monstrosity ever: the Loch Ness Monster! Does it really exist? Early evidence suggests a scary ""yes"" when something gigantic appears outside the window of Daphne's ancestral family castle. Will Scooby-Doo and crew solve one of history's longest-running mysteries?",74,Animation|Family|Comedy,Hanna-Barbera Productions,6/21/04,14,6.3,2004,0,0
49953,tt1230204,0.669106,0,0,Sammy's avonturen: De geheime doorgang,Yuri Lowenthal|Gemma Arterton|Isabelle Fuhrman|Melanie Griffith|Tim Curry,,Ben Stassen,He's Turtly Amazing,number in title|digit in title|sea turtle|3d,"A sea turtle who was hatched in 1959 spends the next 50 years traveling the world while it is being changed by global warming. Born on a Baja, California beach in 1959, new hatchling Sammy must do what his fellow newborn sea turtles are doing: race across the beach to the ocean before they are captured by a seagull or crab. Thus begins Sammy's incredible fifty-year ocean journey. Along the way he meets his best friend, a fellow turtle named Ray, and overcomes obstacles both natural and man-made while trying to fulfill his dream of travelling around the world. Throughout his voyage, Sammy never forgets about Shelly - the turtle he saved on his first day and loves passionately from afar. Based on the actual trajectory of a sea turtle's life, the film illustrates the dangers humans pose to the species' survival. The film combines entertainment with an important environmental message.",88,Animation|Family,Motion Investment Group|nWave Pictures|Illuminata Pictures,8/3/10,91,5.8,2010,0,0
10690,tt0120199,0.14447,25000000,0,Space Truckers,Dennis Hopper|Stephen Dorff|Debi Mazar|George Wendt|Charles Dance,,Stuart Gordon,Earth's Only Hope,killer robot|space war|dangerous|state of emergency,John Canyon is one of the last independent space transport entrepreneurs. Rough times force him to carry suspicious cargo to Earth without questions being asked. During the flight the cargo turns out to be multitude of unstoppable and deadly killer robots.,95,Comedy|Science Fiction|Thriller|Adventure,Goldcrest Films International|Peter Newman/Interal|Mary Breen-Farrelly Productions|Irish Film Industry|Pachyderm Production,3/1/96,17,5.9,1996,34755418.4740063,0
173210,tt2033981,0.240375,0,0,Downloaded,Sean Parker|Shawn Fanning|Lars Ulrich|Jon Stewart|Noel Gallagher,,Alex Winter,Napster: The Music. The Battle. The Revolution.,internet,"A documentary that explores the downloading revolution; the kids that created it, the bands and the businesses that were effected by it, and its impact on the world at large.",106,Documentary,VH1 Rock Docs,6/20/13,19,6.5,2013,0,0
