2025-09-21 23:35:46,087 INFO: Đã insert thành công 200000 product_id vào bảng products trong crawl.db
2025-09-21 23:35:46,138 INFO: Bắt đầu crawl batch 0 (1000 sản phẩm)
2025-09-21 23:35:46,938 WARNING: Lỗi HTTP 429 - product id: 402506, thử lại 1/3
2025-09-21 23:35:47,390 WARNING: Lỗi HTTP 429 - product id: 411668, thử lại 1/3
2025-09-21 23:35:47,800 WARNING: Lỗi HTTP 429 - product id: 415834, thử lại 1/3
2025-09-21 23:35:51,448 WARNING: Lỗi HTTP 429 - product id: 474819, thử lại 1/3
2025-09-21 23:35:51,451 WARNING: Lỗi HTTP 429 - product id: 474858, thử lại 1/3
2025-09-21 23:35:51,598 WARNING: Lỗi HTTP 429 - product id: 477414, thử lại 1/3
2025-09-21 23:35:52,548 WARNING: Lỗi HTTP 429 - product id: 496973, thử lại 1/3
2025-09-21 23:35:52,549 WARNING: Lỗi HTTP 429 - product id: 498083, thử lại 1/3
2025-09-21 23:35:52,694 WARNING: Lỗi HTTP 429 - product id: 503633, thử lại 1/3
2025-09-21 23:35:53,051 WARNING: Lỗi HTTP 429 - product id: 510506, thử lại 1/3
2025-09-21 23:35:53,150 WARNING: Lỗi HTTP 429 - product id: 510954, thử lại 1/3
2025-09-21 23:35:53,389 WARNING: Lỗi HTTP 429 - product id: 511440, thử lại 1/3
2025-09-21 23:35:53,390 WARNING: Lỗi HTTP 429 - product id: 511490, thử lại 1/3
2025-09-21 23:35:53,399 WARNING: Lỗi HTTP 429 - product id: 511907, thử lại 1/3
2025-09-21 23:35:53,456 WARNING: Lỗi HTTP 429 - product id: 514656, thử lại 1/3
2025-09-21 23:35:53,484 WARNING: Lỗi HTTP 429 - product id: 515213, thử lại 1/3
2025-09-21 23:35:53,546 WARNING: Lỗi HTTP 429 - product id: 516058, thử lại 1/3
2025-09-21 23:35:53,548 WARNING: Lỗi HTTP 429 - product id: 516248, thử lại 1/3
2025-09-21 23:35:53,634 WARNING: Lỗi HTTP 429 - product id: 518318, thử lại 1/3
2025-09-21 23:35:53,639 WARNING: Lỗi HTTP 429 - product id: 518390, thử lại 1/3
2025-09-21 23:35:53,695 WARNING: Lỗi HTTP 429 - product id: 520946, thử lại 1/3
2025-09-21 23:35:53,790 WARNING: Lỗi HTTP 429 - product id: 521430, thử lại 1/3
2025-09-21 23:35:53,943 WARNING: Lỗi HTTP 429 - product id: 522664, thử lại 1/3
2025-09-21 23:35:54,699 WARNING: Lỗi HTTP 429 - product id: 545579, thử lại 1/3
2025-09-21 23:35:55,201 WARNING: Lỗi HTTP 429 - product id: 552675, thử lại 1/3
2025-09-21 23:35:55,853 WARNING: Lỗi HTTP 429 - product id: 559039, thử lại 1/3
2025-09-21 23:35:56,036 WARNING: Lỗi HTTP 429 - product id: 562248, thử lại 1/3
2025-09-21 23:35:56,040 WARNING: Lỗi HTTP 429 - product id: 563600, thử lại 1/3
2025-09-21 23:35:56,186 WARNING: Lỗi HTTP 429 - product id: 564671, thử lại 1/3
2025-09-21 23:35:56,989 WARNING: Lỗi HTTP 429 - product id: 521430, thử lại 2/3
2025-09-21 23:35:57,083 WARNING: Lỗi HTTP 429 - product id: 613061, thử lại 1/3
2025-09-21 23:35:57,090 WARNING: Lỗi HTTP 429 - product id: 622371, thử lại 1/3
2025-09-21 23:35:57,232 WARNING: Lỗi HTTP 429 - product id: 631964, thử lại 1/3
2025-09-21 23:35:58,446 WARNING: Lỗi HTTP 429 - product id: 658087, thử lại 1/3
2025-09-21 23:35:59,086 WARNING: Lỗi HTTP 429 - product id: 694838, thử lại 1/3
2025-09-21 23:35:59,187 WARNING: Lỗi HTTP 429 - product id: 694858, thử lại 1/3
2025-09-21 23:36:01,485 WARNING: Lỗi HTTP 429 - product id: 755392, thử lại 1/3
2025-09-21 23:36:02,294 WARNING: Lỗi HTTP 429 - product id: 790865, thử lại 1/3
2025-09-21 23:36:05,404 INFO: Đã commit batch 0 (1000 sản phẩm)
2025-09-21 23:36:05,442 INFO: Đã ghi 1000 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_0_1000_ids.csv
2025-09-21 23:36:05,486 INFO: Bắt đầu crawl batch 1 (1000 sản phẩm)
2025-09-21 23:36:08,937 WARNING: Lỗi HTTP 429 - product id: 956537, thử lại 1/3
2025-09-21 23:36:09,136 WARNING: Lỗi HTTP 429 - product id: 959368, thử lại 1/3
2025-09-21 23:36:09,202 WARNING: Lỗi HTTP 429 - product id: 961799, thử lại 1/3
2025-09-21 23:36:09,344 WARNING: Lỗi HTTP 429 - product id: 967457, thử lại 1/3
2025-09-21 23:36:09,383 WARNING: Lỗi HTTP 429 - product id: 969024, thử lại 1/3
2025-09-21 23:36:09,394 WARNING: Lỗi HTTP 429 - product id: 973564, thử lại 1/3
2025-09-21 23:36:10,539 WARNING: Lỗi HTTP 429 - product id: 1022911, thử lại 1/3
2025-09-21 23:36:10,541 WARNING: Lỗi HTTP 429 - product id: 1022909, thử lại 1/3
2025-09-21 23:36:10,588 WARNING: Lỗi HTTP 429 - product id: 1022997, thử lại 1/3
2025-09-21 23:36:10,588 WARNING: Lỗi HTTP 429 - product id: 1022975, thử lại 1/3
2025-09-21 23:36:10,683 WARNING: Lỗi HTTP 429 - product id: 1037604, thử lại 1/3
2025-09-21 23:36:10,689 WARNING: Lỗi HTTP 429 - product id: 1038236, thử lại 1/3
2025-09-21 23:36:10,749 WARNING: Lỗi HTTP 429 - product id: 1040784, thử lại 1/3
2025-09-21 23:36:10,811 WARNING: Lỗi HTTP 429 - product id: 1041830, thử lại 1/3
2025-09-21 23:36:10,833 WARNING: Lỗi HTTP 429 - product id: 1041834, thử lại 1/3
2025-09-21 23:36:11,146 WARNING: Lỗi HTTP 429 - product id: 1042634, thử lại 1/3
2025-09-21 23:36:11,147 WARNING: Lỗi HTTP 429 - product id: 1042640, thử lại 1/3
2025-09-21 23:36:11,435 WARNING: Lỗi HTTP 429 - product id: 1042728, thử lại 1/3
2025-09-21 23:36:11,487 WARNING: Lỗi HTTP 429 - product id: 1042742, thử lại 1/3
2025-09-21 23:36:12,085 WARNING: Lỗi HTTP 429 - product id: 1058858, thử lại 1/3
2025-09-21 23:36:12,085 WARNING: Lỗi HTTP 429 - product id: 1058860, thử lại 1/3
2025-09-21 23:36:12,286 WARNING: Lỗi HTTP 429 - product id: 1063814, thử lại 1/3
2025-09-21 23:36:12,331 WARNING: Lỗi HTTP 429 - product id: 1066052, thử lại 1/3
2025-09-21 23:36:12,332 WARNING: Lỗi HTTP 429 - product id: 1066106, thử lại 1/3
2025-09-21 23:36:13,088 WARNING: Lỗi HTTP 429 - product id: 1194209, thử lại 1/3
2025-09-21 23:36:13,143 WARNING: Lỗi HTTP 429 - product id: 1197177, thử lại 1/3
2025-09-21 23:36:15,485 WARNING: Lỗi HTTP 429 - product id: 1522711, thử lại 1/3
2025-09-21 23:36:15,635 WARNING: Lỗi HTTP 429 - product id: 1524449, thử lại 1/3
2025-09-21 23:36:15,643 WARNING: Lỗi HTTP 429 - product id: 1524451, thử lại 1/3
2025-09-21 23:36:15,698 WARNING: Lỗi HTTP 429 - product id: 1533119, thử lại 1/3
2025-09-21 23:36:15,736 WARNING: Lỗi HTTP 429 - product id: 1534473, thử lại 1/3
2025-09-21 23:36:15,738 WARNING: Lỗi HTTP 429 - product id: 1534467, thử lại 1/3
2025-09-21 23:36:15,787 WARNING: Lỗi HTTP 429 - product id: 1535109, thử lại 1/3
2025-09-21 23:36:15,796 WARNING: Lỗi HTTP 429 - product id: 1535135, thử lại 1/3
2025-09-21 23:36:15,834 WARNING: Lỗi HTTP 429 - product id: 1536287, thử lại 1/3
2025-09-21 23:36:15,834 WARNING: Lỗi HTTP 429 - product id: 1552075, thử lại 1/3
2025-09-21 23:36:15,893 WARNING: Lỗi HTTP 429 - product id: 1579671, thử lại 1/3
2025-09-21 23:36:15,943 WARNING: Lỗi HTTP 429 - product id: 1581121, thử lại 1/3
2025-09-21 23:36:16,899 WARNING: Lỗi HTTP 429 - product id: 1675811, thử lại 1/3
2025-09-21 23:36:17,158 WARNING: Lỗi HTTP 429 - product id: 1692113, thử lại 1/3
2025-09-21 23:36:17,189 WARNING: Lỗi HTTP 429 - product id: 1692217, thử lại 1/3
2025-09-21 23:36:17,722 WARNING: Lỗi HTTP 429 - product id: 1730803, thử lại 1/3
2025-09-21 23:36:17,737 WARNING: Lỗi HTTP 429 - product id: 1733025, thử lại 1/3
2025-09-21 23:36:17,797 WARNING: Lỗi HTTP 429 - product id: 1733769, thử lại 1/3
2025-09-21 23:36:17,882 WARNING: Lỗi HTTP 429 - product id: 1734977, thử lại 1/3
2025-09-21 23:36:18,787 WARNING: Lỗi HTTP 429 - product id: 1819009, thử lại 1/3
2025-09-21 23:36:18,940 WARNING: Lỗi HTTP 429 - product id: 1860525, thử lại 1/3
2025-09-21 23:36:19,033 WARNING: Lỗi HTTP 429 - product id: 1910521, thử lại 1/3
2025-09-21 23:36:19,086 WARNING: Lỗi HTTP 429 - product id: 1917115, thử lại 1/3
2025-09-21 23:36:19,090 WARNING: Lỗi HTTP 429 - product id: 1913729, thử lại 1/3
2025-09-21 23:36:19,157 WARNING: Lỗi HTTP 429 - product id: 1939187, thử lại 1/3
2025-09-21 23:36:19,182 WARNING: Lỗi HTTP 429 - product id: 1945397, thử lại 1/3
2025-09-21 23:36:19,803 WARNING: Lỗi HTTP 429 - product id: 1994535, thử lại 1/3
2025-09-21 23:36:19,938 WARNING: Lỗi HTTP 429 - product id: 1994569, thử lại 1/3
2025-09-21 23:36:20,195 WARNING: Lỗi HTTP 429 - product id: 1994641, thử lại 1/3
2025-09-21 23:36:20,296 WARNING: Lỗi HTTP 429 - product id: 1994661, thử lại 1/3
2025-09-21 23:36:20,610 WARNING: Lỗi HTTP 429 - product id: 2000271, thử lại 1/3
2025-09-21 23:36:20,880 WARNING: Lỗi HTTP 429 - product id: 2005943, thử lại 1/3
2025-09-21 23:36:20,912 WARNING: Lỗi HTTP 429 - product id: 2006329, thử lại 1/3
2025-09-21 23:36:20,975 WARNING: Lỗi HTTP 429 - product id: 2008991, thử lại 1/3
2025-09-21 23:36:21,120 WARNING: Lỗi HTTP 429 - product id: 2009039, thử lại 1/3
2025-09-21 23:36:24,240 INFO: Đã commit batch 1 (1000 sản phẩm)
2025-09-21 23:36:24,270 INFO: Đã ghi 1000 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_1_1000_ids.csv
2025-09-21 23:36:24,312 INFO: Bắt đầu crawl batch 2 (1000 sản phẩm)
2025-09-21 23:36:25,510 WARNING: Lỗi HTTP 429 - product id: 2089883, thử lại 1/3
2025-09-21 23:36:25,535 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 2069457
2025-09-21 23:36:25,668 WARNING: Lỗi HTTP 429 - product id: 2099219, thử lại 1/3
2025-09-21 23:36:25,736 WARNING: Lỗi HTTP 429 - product id: 2108105, thử lại 1/3
2025-09-21 23:36:25,757 WARNING: Lỗi HTTP 429 - product id: 2108233, thử lại 1/3
2025-09-21 23:36:25,862 WARNING: Lỗi HTTP 429 - product id: 2123017, thử lại 1/3
2025-09-21 23:36:26,283 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 2152895
2025-09-21 23:36:26,615 WARNING: Lỗi HTTP 429 - product id: 2216127, thử lại 1/3
2025-09-21 23:36:26,660 WARNING: Lỗi HTTP 429 - product id: 2224929, thử lại 1/3
2025-09-21 23:36:26,715 WARNING: Lỗi HTTP 429 - product id: 2229677, thử lại 1/3
2025-09-21 23:36:26,723 WARNING: Lỗi HTTP 429 - product id: 2229681, thử lại 1/3
2025-09-21 23:36:27,069 WARNING: Lỗi HTTP 429 - product id: 2264839, thử lại 1/3
2025-09-21 23:36:27,260 WARNING: Lỗi HTTP 429 - product id: 2288229, thử lại 1/3
2025-09-21 23:36:27,322 WARNING: Lỗi HTTP 429 - product id: 2301451, thử lại 1/3
2025-09-21 23:36:27,369 WARNING: Lỗi HTTP 429 - product id: 2301923, thử lại 1/3
2025-09-21 23:36:27,370 WARNING: Lỗi HTTP 429 - product id: 2302095, thử lại 1/3
2025-09-21 23:36:27,512 WARNING: Lỗi HTTP 429 - product id: 2340533, thử lại 1/3
2025-09-21 23:36:27,520 WARNING: Lỗi HTTP 429 - product id: 2340603, thử lại 1/3
2025-09-21 23:36:27,521 WARNING: Lỗi HTTP 429 - product id: 2340639, thử lại 1/3
2025-09-21 23:36:27,565 WARNING: Lỗi HTTP 429 - product id: 2340693, thử lại 1/3
2025-09-21 23:36:27,573 WARNING: Lỗi HTTP 429 - product id: 2340767, thử lại 1/3
2025-09-21 23:36:27,903 WARNING: Lỗi HTTP 429 - product id: 2365729, thử lại 1/3
2025-09-21 23:36:27,967 WARNING: Lỗi HTTP 429 - product id: 2365849, thử lại 1/3
2025-09-21 23:36:28,736 WARNING: Lỗi HTTP 429 - product id: 2415057, thử lại 1/3
2025-09-21 23:36:29,284 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 2386945
2025-09-21 23:36:29,316 WARNING: Lỗi HTTP 429 - product id: 2501329, thử lại 1/3
2025-09-21 23:36:29,352 WARNING: Lỗi HTTP 429 - product id: 2523347, thử lại 1/3
2025-09-21 23:36:29,375 WARNING: Lỗi HTTP 429 - product id: 2523777, thử lại 1/3
2025-09-21 23:36:29,413 WARNING: Lỗi HTTP 429 - product id: 2534177, thử lại 1/3
2025-09-21 23:36:29,820 WARNING: Lỗi HTTP 429 - product id: 2563983, thử lại 1/3
2025-09-21 23:36:30,269 WARNING: Lỗi HTTP 429 - product id: 2582185, thử lại 1/3
2025-09-21 23:36:32,625 WARNING: Lỗi HTTP 429 - product id: 2696577, thử lại 1/3
2025-09-21 23:36:32,727 WARNING: Lỗi HTTP 429 - product id: 2701441, thử lại 1/3
2025-09-21 23:36:32,773 WARNING: Lỗi HTTP 429 - product id: 2736479, thử lại 1/3
2025-09-21 23:36:32,865 WARNING: Lỗi HTTP 429 - product id: 2749117, thử lại 1/3
2025-09-21 23:36:32,871 WARNING: Lỗi HTTP 429 - product id: 2749265, thử lại 1/3
2025-09-21 23:36:33,077 WARNING: Lỗi HTTP 429 - product id: 2749327, thử lại 1/3
2025-09-21 23:36:35,012 WARNING: Lỗi HTTP 429 - product id: 2869351, thử lại 1/3
2025-09-21 23:36:35,265 WARNING: Lỗi HTTP 429 - product id: 2918853, thử lại 1/3
2025-09-21 23:36:35,519 WARNING: Lỗi HTTP 429 - product id: 3004571, thử lại 1/3
2025-09-21 23:36:35,771 WARNING: Lỗi HTTP 429 - product id: 2696577, thử lại 2/3
2025-09-21 23:36:35,775 WARNING: Lỗi HTTP 429 - product id: 3035487, thử lại 1/3
2025-09-21 23:36:35,846 WARNING: Lỗi HTTP 429 - product id: 3041841, thử lại 1/3
2025-09-21 23:36:35,915 WARNING: Lỗi HTTP 429 - product id: 3045329, thử lại 1/3
2025-09-21 23:36:35,917 WARNING: Lỗi HTTP 429 - product id: 2736479, thử lại 2/3
2025-09-21 23:36:35,973 WARNING: Lỗi HTTP 429 - product id: 3045351, thử lại 1/3
2025-09-21 23:36:35,982 WARNING: Lỗi HTTP 429 - product id: 3045399, thử lại 1/3
2025-09-21 23:36:36,017 WARNING: Lỗi HTTP 429 - product id: 3045405, thử lại 1/3
2025-09-21 23:36:36,047 WARNING: Lỗi HTTP 429 - product id: 3045413, thử lại 1/3
2025-09-21 23:36:36,065 WARNING: Lỗi HTTP 429 - product id: 3045417, thử lại 1/3
2025-09-21 23:36:36,072 WARNING: Lỗi HTTP 429 - product id: 3045421, thử lại 1/3
2025-09-21 23:36:36,165 WARNING: Lỗi HTTP 429 - product id: 2749327, thử lại 2/3
2025-09-21 23:36:36,172 WARNING: Lỗi HTTP 429 - product id: 3045489, thử lại 1/3
2025-09-21 23:36:36,560 WARNING: Lỗi HTTP 429 - product id: 3052193, thử lại 1/3
2025-09-21 23:36:36,561 WARNING: Lỗi HTTP 429 - product id: 3052181, thử lại 1/3
2025-09-21 23:36:37,113 WARNING: Lỗi HTTP 429 - product id: 3056255, thử lại 1/3
2025-09-21 23:36:42,279 INFO: Đã commit batch 2 (1000 sản phẩm)
2025-09-21 23:36:42,310 INFO: Đã ghi 997 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_2_997_ids.csv
2025-09-21 23:36:42,352 INFO: Bắt đầu crawl batch 3 (1000 sản phẩm)
2025-09-21 23:36:45,658 WARNING: Lỗi HTTP 429 - product id: 3714775, thử lại 1/3
2025-09-21 23:36:46,057 WARNING: Lỗi HTTP 429 - product id: 3724495, thử lại 1/3
2025-09-21 23:36:47,937 WARNING: Lỗi HTTP 429 - product id: 3933679, thử lại 1/3
2025-09-21 23:36:47,960 WARNING: Lỗi HTTP 429 - product id: 3940953, thử lại 1/3
2025-09-21 23:36:48,014 WARNING: Lỗi HTTP 429 - product id: 3950287, thử lại 1/3
2025-09-21 23:36:48,560 WARNING: Lỗi HTTP 429 - product id: 3998697, thử lại 1/3
