product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
97370,Women's ring Mystic Rain 10 mm,wedding_ring,GWD-V3210-W,1294.000000,348.000000,13192.000000,1,4291,vintage,0,,glgb,women
108338,Women's Wedding Ring Flawless Beauty 6 mm,wedding_ring,GWD-L-44000-6-W,740.000000,296.000000,7261.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
95821,Wedding Ring Charming Shine 6mm,wedding_ring,GWD-T211460,1849.000000,739.000000,19003.000000,1,4090,twinset,688,Wedding Rings,glgb,False
97892,Women's Pendant Feraina,pendant,DP-008,441.000000,330.000000,3492.000000,1,4378,fashion,601,Necklaces,glgb,women
93328,Wedding Ring Classic Meaning 5mm,wedding_ring,GWD18850,1364.000000,318.000000,15822.000000,1,159,classic,688,Wedding Rings,glgb,False
91972,Women's Earring Majori Ø4 mm,earring,PER3-4,295.000000,206.000000,2280.000000,1,4661,pearl,765,PEARL's Earrings,glgb,women
104720,Men's Ring Unique Life 8 mm,wedding_ring,GWD-N1006-8-M,918.000000,367.000000,9218.000000,1,4090,twinset,0,,glgb,men
98290,Kid's Necklace Cosmos,necklace,EPK-75,286.000000,275.000000,2308.000000,1,4716,flower,61,Necklaces,glgb,False
98575,Women's Wedding Ring Exotic Chain 8 mm,wedding_ring,TWIST-002-8W,1115.000000,325.000000,11909.000000,1,4292,twist,689,Women’s Wedding Rings,glgb,women
99061,Elegant Fresh 10 mm,wedding_ring,GWD-M1009-10,2285.000000,750.000000,24770.000000,1,4396,memoire,0,,glgb,False
105375,Men's Ring Natural Alluring 10 mm,wedding_ring,GWD-N1079-10-M,1237.000000,494.000000,12421.000000,1,4090,twinset,0,,glgb,men
103507,Engagement Ring Uzella,ring,Uzella,548.000000,405.000000,57792.000000,1,5170,design_solitaire,605,Engagement Rings,glgb,women
103359,Engagement Ring Jolivette,ring,Jolivette1,763.000000,556.000000,61371.000000,1,5169,side-stone,605,Engagement Rings,glgb,women
94983,Women's Wedding Ring White Daisy 6mm,wedding_ring,GWD-T11930,653.000000,190.000000,6708.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
110868,Wedding Ring Confident Behaviour 10 mm,wedding_ring,gwd-h10000-10,2228.000000,1002.000000,4965.000000,1,5247,wood_&_carbon,688,Wedding Rings,glgb,False
100922,GLAMIRA Bracelet Pelotas,bracelet,PELOTAS,557.000000,350.000000,980.000000,1,4378,fashion,750,Plain Design Bracelets,glgb,women
100970,GLAMIRA Bracelet Nikumar,bracelet,NIKUMAR,397.000000,297.000000,698.000000,1,4395,swing,750,Plain Design Bracelets,glgb,women
90838,Engagement Ring Ursula,ring,RU005,598.000000,418.000000,4702.000000,1,4620,tension,605,Engagement Rings,glgb,women
102636,GLAMIRA Brooch Latorrie,brooch,Latorrie,500.000000,380.000000,4949.000000,1,,,645,Brooch,glgb,women
90911,Engagement Ring Bridal Love 0.1 crt,ring,G100805-01,526.000000,399.000000,4236.000000,1,5170,design_solitaire,605,Engagement Rings,glgb,women
104665,Women's Wedding Ring Pure Valentine 6 mm,wedding_ring,GWD-N1002-6-W,606.000000,242.000000,6287.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
101084,Wedding Ring Fever Life 6 mm,wedding_ring,GWD-W1009-6,2824.000000,1270.000000,23190.000000,1,4297,exclusive,688,Wedding Rings,glgb,False
109031,Women's Ring Essential Choice 8 mm,wedding_ring,GWD-H1011-8-W,791.000000,316.000000,7954.000000,1,164,simple,0,,glgb,women
101128,Women's Ring Authentic Theme 8 mm,wedding_ring,GWD-W1002-W,1697.000000,661.000000,13848.000000,1,4297,exclusive,0,,glgb,women
106318,Men's Ring Serenity Season 10 mm,wedding_ring,GWD-N1132-10-M,1113.000000,445.000000,11176.000000,1,4291,vintage,0,,glgb,men
102292,Women's Earring Anzhela,earring,Anzhela,553.000000,376.000000,4761.000000,1,5256,studs,602,Earrings,glgb,women
95392,Women's ring Pretty Soul 8mm,wedding_ring,GWD-T12820,1221.000000,356.000000,12584.000000,1,159,classic,0,,glgb,women
108061,Women's Wedding Ring Exotic Dream 5 mm,wedding_ring,GWD-L-19000-5-W,530.000000,212.000000,5773.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
111347,GLAMIRA Necklace Ngan - Scorpio,pendant,ngan-scorpio,350.000000,287.000000,2748.000000,1,5246,horoscope,601,Necklaces,glgb,women
99641,Women's Ring Alluring Ground 8 mm,wedding_ring,GWD-MA001-8-W,993.000000,289.000000,10309.000000,1,4297,exclusive,0,,glgb,women
90629,Men's Wedding Ring Gracious favor,wedding_ring,DSC_5090-14-MEN,684.000000,307.000000,1402.000000,1,4396,memoire,690,Men’s Wedding Rings,glgb,men
99131,Women's Wedding Ring Embrace Belief 6 mm,wedding_ring,GWD-M1010-6-W,632.000000,207.000000,6954.000000,1,4396,memoire,689,Women’s Wedding Rings,glgb,women
110437,Men's Pendant Martin,pendant,Men-Martin,880.000000,633.000000,6780.000000,1,5257,religious_symbols,849,Necklaces,glgb,men
94985,Wedding Ring White Daisy 6mm,wedding_ring,GWD-T11950,1437.000000,419.000000,14583.000000,1,4090,twinset,688,Wedding Rings,glgb,False
85085,Women's Wedding Ring Charming Diamond,wedding_ring,C2855,696.000000,313.000000,5437.000000,1,164,simple,689,Women’s Wedding Rings,glgb,women
98936,Men's Ring Bright Gleam 8 mm,wedding_ring,GWD-S4018-8-M,1168.000000,340.000000,11728.000000,1,164,simple,0,,glgb,men
96711,GLAMIRA Necklace Adia,necklace,WSN-3,436.000000,348.000000,3393.000000,1,4378,fashion,601,Necklaces,glgb,women
99649,Women's Wedding Ring Golden Life 7 mm,wedding_ring,GWD-MA005-W,750.000000,219.000000,7688.000000,1,4297,exclusive,689,Women’s Wedding Rings,glgb,women
100154,Kid's Ring Versie,ring,KDR-025,300.000000,246.000000,2278.000000,1,4716,flower,62,Rings,glgb,False
95927,Women's Wedding Ring Amazing Grace 6mm,wedding_ring,GWD-T212530,923.000000,255.000000,9522.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
109347,Men's Wedding Ring Immortal Sparkle 5 mm,wedding_ring,GWD-H1039-5-M,595.000000,238.000000,5973.000000,1,4291,vintage,690,Men’s Wedding Rings,glgb,men
106730,Men's Ring Gracious Night 10 mm,wedding_ring,GWD-H14319162-M,1105.000000,442.000000,11095.000000,1,4090,twinset,0,,glgb,men
106369,Women's Wedding Ring Romantic Waiting 8 mm,wedding_ring,GWD-N1135-8-W,828.000000,331.000000,9794.000000,1,4291,vintage,689,Women’s Wedding Rings,glgb,women
101230,Men's Ring Fever Life 10 mm,wedding_ring,GWD-W1009-10-M,2578.000000,876.000000,19915.000000,1,4297,exclusive,0,,glgb,men
101218,Men's Wedding Ring Fever Desire 6 mm,wedding_ring,GWD-W1007-6-M,1527.000000,687.000000,11795.000000,1,4297,exclusive,690,Men’s Wedding Rings,glgb,men
98723,Women's Wedding Ring Pure Sense 5 mm,wedding_ring,GWD-S4007-W,620.000000,153.000000,6276.000000,1,164,simple,689,Women’s Wedding Rings,glgb,women
101216,Men's Wedding Ring Charming Miracle 6 mm,wedding_ring,GWD-W1006-6-M,1418.000000,638.000000,10954.000000,1,4297,exclusive,690,Men’s Wedding Rings,glgb,men
99439,Women's Ring Universe Crux 10 mm,wedding_ring,GWD-M1042-10-W,1030.000000,337.000000,11003.000000,1,4396,memoire,0,,glgb,women
95618,GLAMIRA Ring Lisce,ring,Lisce,911.000000,364.000000,6832.000000,1,4378,fashion,719,Plain Design Rings,glgb,women
96538,Bright Love 3 mm,wedding_ring,GWD-C191003-3,779.000000,311.000000,7909.000000,1,4090,twinset,0,,glgb,False
97445,Women's Pendant Fiducia,pendant,FIDUCIA,571.000000,388.000000,6345.000000,1,4378,fashion,601,Necklaces,glgb,women
96168,Men's Wedding Ring Pure Beauty 5 mm,wedding_ring,GWD-T120912-5M,802.000000,227.000000,8053.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
99013,Men's Ring Alluring Truth 10 mm,wedding_ring,GWD-M1002-10-M,1193.000000,391.000000,11979.000000,1,4396,memoire,0,,glgb,men
100207,Men's Ring Bright Spell 10 mm,wedding_ring,FCW-002-10M,1371.000000,400.000000,13767.000000,1,4291,vintage,0,,glgb,men
105996,Men's Ring Wondrous Touch 10 mm,wedding_ring,GWD-N1115-10-M,1064.000000,425.000000,10684.000000,1,4090,twinset,0,,glgb,men
98467,GLAMIRA Ring Silvia,ring,SILVIA,354.000000,283.000000,2655.000000,1,4378,fashion,719,Plain Design Rings,glgb,women
92868,Men's Ring Classic Balance 9 mm,wedding_ring,GWD13170,1411.000000,277.000000,15585.000000,1,159,classic,0,,glgb,men
106357,Wedding Ring Infinite Choice 5 mm,wedding_ring,GWD-H14319055,1223.000000,489.000000,12995.000000,1,4291,vintage,688,Wedding Rings,glgb,False
99590,Men's Earring Wynford,earring,MER-046,110.000000,93.000000,825.000000,1,5256,studs,746,Earrings,glgb,men
111169,Women's Wedding Ring Confident Glow 6 mm,wedding_ring,gwd-h10026-6-W,740.000000,333.000000,1630.000000,1,5247,wood_&_carbon,689,Women’s Wedding Rings,glgb,women
97603,GLAMIRA Hoop Pendant Aspasia,pendant,WSP-97,513.000000,374.000000,3970.000000,1,4378,fashion,601,Necklaces,glgb,women
110040,Women's Pendant Shelia,pendant,shelia,690.000000,483.000000,5343.000000,1,4378,fashion,601,Necklaces,glgb,women
98371,Women's Bracelet Assen,bracelet,ASSEN,338.000000,270.000000,2810.000000,1,5168,chain_bracelet,624,Bracelets,glgb,women
96467,Engagement Ring Berthe,ring,Berthe,452.000000,361.000000,10008.000000,1,"4380,6071","4380,6071",605,Engagement Rings,glgb,women
99871,Women's Necklace Harmonee,pendant,OEPD-009,163.000000,158.000000,1688.000000,1,4574,initials,601,Necklaces,glgb,women
105796,Unique Beauty 8 mm,wedding_ring,GWD-N1100-8,1627.000000,650.000000,16390.000000,1,4090,twinset,0,,glgb,False
108797,Immortal Pretty 10 mm,wedding_ring,GWD-H1007-10,2085.000000,834.000000,21055.000000,1,4090,twinset,0,,glgb,False
