name,type,mode,description,is_nested
_id,STRING,NULLABLE,,NO
api_version,STRING,NULLABLE,,NO
cart_products,RECORD,REPEATED,,YES
cart_products.amount,INTEGER,NULLABLE,,NO
cart_products.currency,STRING,NULLABLE,,NO
cart_products.price,STRING,NULLABLE,,NO
cart_products.product_id,INTEGER,NULLABLE,,NO
cart_products.option,RECORD,REPEATED,,YES
cart_products.option.option_id,INTEGER,NULLABLE,,NO
cart_products.option.option_label,STRING,NULLABLE,,NO
cart_products.option.value_id,INTEGER,NULLABLE,,NO
cart_products.option.value_label,STRING,NULLABLE,,NO
cart_products.option.raw,STRING,NULLABLE,,NO
cat_id,STRING,NULLABLE,,NO
collect_id,STRING,NULLABLE,,NO
collection,STRING,NULLABLE,,NO
currency,STRING,NULLABLE,,NO
current_url,STRING,NULLABLE,,NO
device_id,STRING,NULLABLE,,NO
email_address,STRING,NULLABLE,,NO
ip,STRING,NULLABLE,,NO
is_paypal,BOOLEAN,NULLABLE,,NO
key_search,STRING,NULLABLE,,NO
local_time,STRING,NULLABLE,,NO
option,RECORD,REPEATED,,YES
option.Kollektion,STRING,NULLABLE,,NO
option.alloy,STRING,NULLABLE,,NO
option.category_id,STRING,NULLABLE,,NO
option.diamond,STRING,NULLABLE,,NO
option.finish,STRING,NULLABLE,,NO
option.kollektion_id,STRING,NULLABLE,,NO
option.option_id,STRING,NULLABLE,,NO
option.option_label,STRING,NULLABLE,,NO
option.pearlcolor,STRING,NULLABLE,,NO
option.price,STRING,NULLABLE,,NO
option.quality,STRING,NULLABLE,,NO
option.quality_label,STRING,NULLABLE,,NO
option.shapediamond,STRING,NULLABLE,,NO
option.stone,STRING,NULLABLE,,NO
option.value_id,STRING,NULLABLE,,NO
option.value_label,STRING,NULLABLE,,NO
order_id,STRING,NULLABLE,,NO
price,STRING,NULLABLE,,NO
product_id,STRING,NULLABLE,,NO
recommendation,BOOLEAN,NULLABLE,,NO
recommendation_clicked_position,INTEGER,NULLABLE,,NO
recommendation_product_id,STRING,NULLABLE,,NO
recommendation_product_position,STRING,NULLABLE,,NO
referrer_url,STRING,NULLABLE,,NO
resolution,STRING,NULLABLE,,NO
show_recommendation,STRING,NULLABLE,,NO
store_id,STRING,NULLABLE,,NO
time_stamp,INTEGER,NULLABLE,,NO
user_agent,STRING,NULLABLE,,NO
user_id_db,STRING,NULLABLE,,NO
utm_medium,STRING,NULLABLE,,NO
utm_source,STRING,NULLABLE,,NO
viewing_product_id,STRING,NULLABLE,,NO
